"id","event_id","lang","title","teaser","content"
1,1,ru,Выставка « «Бесконечность красоты»,Выставка « «Бесконечность красоты»,"<p style=""text-align: justify; text-indent: 25px;"">Выставка предлагает погрузиться в мир сказки А.С. Пушкина через музыку Н.А. Римского-Корсакова, сценографию и костюмы К.А. Коровина. В основу выставки положено творческое кредо К.А. Коровина: &laquo;Краски и формы в своих сочетаниях дают гармонию красоты&hellip; Мне хотелось, чтобы глаз зрителя тоже бы эстетически &bdquo;наслаждался&ldquo;, как ухо души &ndash; музыкой&raquo;.</p>
<p style=""text-align: justify; text-indent: 25px;"">Эскизы декораций и костюмов, представленных в экспозиции, служат лучшим подтверждением этой мысли. Композиция эскизов создает атмосферу сказочности, а использование в декорациях и костюмах мотивов народного национального искусства открывает новую страницу интереса к народному творчеству. Все это позволяет развернуть шире данную тему, показав лучшие образцы ремесел в гравюрах, литографиях, фотографиях, открытках &ndash; документах и материалах из фондов РГБИ.</p>
<p style=""text-align: justify; text-indent: 25px;"">В выставочное пространство органично вписываются авторские листы художника Г.И. Голова, ближайшего помощника Коровина. Пластическая галерея макетов костюмов, выполненных по эскизам Коровина, выстраивает дополнительный эмоциональный ряд восприятия экспозиции. Так современные молодые художники &ndash; технологи костюма осваивают и постигают великое наследие выдающихся мастеров прошлого, возрождая лучшие страницы в истории русской сцены.</p>
<p style=""text-align: justify; text-indent: 25px;"">Выставка создана при участии РГБИ, музея Большого театра, кафедры сценического костюма Школы-студии МХАТ им. А.П. Чехова.</p>"
2,1,en,"1","1",<p>1</p>
7,4,ru,Концерт «Была весна – весна победы».,Артисты Театра-студии “Bel Canto” им. В.Е. Коростина исполнят патриотические и лирические песни времен Великой Отечественной войны.,"<p><span style=""color: #000000;"">Артисты </span>Театра-студии &ldquo;Bel Canto&rdquo; им. В.Е. Коростина исполнят патриотические и лирические песни времен Великой Отечественной войны.</p>"
8,4,en,Concert,  ,<p>&nbsp;&nbsp;&nbsp;&nbsp;</p>
9,5,ru,Вечер клуба «Неигрового кино» (при участии ВГИК им. Герасимова),Представление фильма В.П. Лисаковича «Детство среди войны»,"<p><span style=""color: #000000;"">Представление фильма В.П. Лисаковича &laquo;Детство среди войны&raquo;</span></p>
<p><span style=""color: #000000; font-family: Times New Roman;"">В заседании принимают участие кинорежиссер, народный артист Российской Федерации, профессор ВГИК Виктор Петрович Лисакович и студенты кафедры неигрового кино ВГИКа.</span></p>
<p><span style=""color: #000000;"">&nbsp;</span><span style=""color: #000000;"">О фильме. Тяжелые дни военного детства вспоминают те, кто жил при немцах в оккупированной Белоруссии, прятался в холодных подвалах Сталинграда от артиллерийских обстрелов, голодал в блокадном Ленинграде, томился в концлагерях и работал у станков. Эти люди, осиротевшие в те страшные годы, выдержали и вынесли все, что уготовила им война&hellip; </span></p>"
10,5,en,     ,     ,<p>&nbsp;&nbsp;&nbsp;&nbsp;</p>
11,6,ru,Цикл «Маленькие музеи больших городов»,Музей русской гармоники Альфреда Мирека - это единственный музей гармоник в нашей стране и один из четырех в мире,"<p style=""margin: 0cm 0cm 10pt;""><span style=""line-height: 115%; font-family: 'Times New Roman','serif'; font-size: 14pt;""><span style=""color: #000000;"">Музей русской гармоники Альфреда Мирека - это единственный музей гармоник в нашей стране и один из четырех в мире. Музей русской гармоники был создан на основе уникальной коллекции материалов, собранных на протяжении четырех десятилетий Заслуженным деятелем искусств РФ, доктором искусствоведения, профессором Альфредом Мартиновичем Миреком. Долгое время это был частный музей, пользующийся широкой известностью не только в нашей стране, но и за рубежом.</span></span></p>"
12,6,en,Museum,    ,<p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; &nbsp;&nbsp;&nbsp;&nbsp;&nbsp;</p>
13,7,ru,Вечер памяти художника-иллюстратора Ильинского И.А.  ,"Совместно с издательствами: «Клевер» (Clever), «Нигма», «Детская литература».","<p><span style=""color: #000000;"">И.А. Ильинский &ndash; заслуженный художник РСФСР, член&nbsp;Союза советских художников. Иллюстрировал книги таких авторов как:</span><span style=""color: #000000;"">&nbsp; </span><span style=""color: #000000;"">С. Маршак, С. Михалков, А.Барто. Многие книги с иллюстрациями И.&nbsp;А.&nbsp;Ильинского, выпущенные издательством &laquo;Детская литература&raquo;, переиздавались в издательствах страны и мира: в Болгарии, Югославии Чехословакии, Румынии, КНР, Франции, Швейцарии, Швеции и других.</span></p>"
14,7,en,Ilyinsty artist ,    ,<p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; &nbsp;&nbsp;&nbsp;&nbsp;</p>
15,8,ru,Книжно-иллюстративная выставка из цикла «Юбилеи года»,посвященная 175- летию со дня рождения великого русского композитора Петра Ильича Чайковского (1840-1893).,"<p><span style=""line-height: 115%; font-family: 'Times New Roman','serif'; font-size: 14pt; mso-fareast-font-family: 'Times New Roman'; mso-ansi-language: RU; mso-fareast-language: EN-US; mso-bidi-language: AR-SA;""><span style=""color: #000000;"">Выставка посвящена 175- летию со дня рождения великого русского композитора Петра Ильича Чайковского (1840-1893).</span></span></p>"
16,8,en,Exsibition,    ,<p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;</p>
17,9,ru,Книжно-иллюстративная выставка из цикла «Юбилеи года»,посвященная  70-летию победы в Великой Отечественной войне.,<p>Выставка посвященна&nbsp; 70-летию победы в Великой Отечественной войне.</p>
18,9,en,Exsibition,     ,<p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;</p>
19,10,ru,Книжно-иллюстративная выставка из цикла «Юбилеи года»,посвященная 75- летию со дня рождения поэта Иосифа Бродского (1940-1996).,"<p>&nbsp;Выставка посвящена 75- летию со дня рождения поэта, Лауреата Нобелевской премии,&nbsp; Иосифа Бродского (1940-1996).</p>"
20,10,en,Exibition,     ,<p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;</p>
21,11,ru,"Концерт «Авторские песни о войне» в исп. бардов, рожденных в годы ВОВ","Концерт «Авторские песни о войне». В исполнении барда М. Рысакова прозвучат написанные им песни и песни его друзей и ровесников –представителей поколения, рожденного в военные годы и сразу после окончания войны.","<p style=""margin: 0cm 0cm 10pt;""><span style=""line-height: 115%; font-family: 'Times New Roman','serif'; font-size: 14pt;""><span style=""color: #000000;"">Концерт &laquo;Авторские песни о войне&raquo;. В исполнении барда М. Рысакова прозвучат написанные им песни и песни его друзей и ровесников &ndash;представителей поколения, рожденного в военные годы и сразу после окончания войны.</span></span></p>"
22,11,en,Concert,      ,<p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;</p>
23,12,ru,"Презентация выставки «Выжить, чтобы  создавать. Детям войны посвящается».",Выставка рассчитана в первую очередь на семейное посещение и на молодежь и школьников. В рамках выставки планируются концерты,"<p style=""background: white; text-align: justify; margin-top: 0cm;""><span style=""font-size: 14pt;""><span style=""color: #000000; font-family: Times New Roman;"">Экспозиция к 70-летию Великой Победы рассказывает о самых незащищенных жертвах войны &ndash; детях. Главные герои выставки не просто пережили страшные испытания, они выросли и стали выдающимися артистами, режиссерами, художниками, ныне признанными во всем мире. Среди них А. Тарковский, Г. Вишневская, М. Захаров, М. Магомаев, Э. Маклакова, К. Гинкас, В. Высоцкий, В. Лановой и многие другие наши современники. Атмосферу, в которой росли будущие таланты, воссоздают их воспоминания, фотографии, документы, детские книжки, игрушки, бытовые вещи. Кроме фондов РГБИ, в создании выставки приняли участие АНО &laquo;Народный архив&raquo; и другие организации. Библиотека благодарит всех, кто предоставил для экспозиции материалы личных коллекций. </span></span></p>"
24,12,en,Exibition,      ,<p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;</p>
25,13,ru,Представление фильма о художнике и участнике ВОВ Виталии Горяеве,"В Музее читателя состоится демонстрация документального фильма «Спираль жизни», который представит его автор Л. Азаматова и члены съемочной группы. ","<p><span style=""color: #000000;"">В Музее читателя состоится демонстрация документального фильма </span><strong><span style=""color: #000000;"">&laquo;Спираль жизни&raquo;</span></strong><span style=""color: #000000;"">, который представит его автор Л. Азаматова и члены съемочной группы. Фильм рассказывает о знаменитом советском художнике, участнике ВОВ Виталии Николаевиче Горяеве. В </span>1941&ndash;1942 гг.<span style=""color: #000000;""> Горяев работал в &laquo;Окнах ТАСС&raquo;, </span>в 1942&ndash;1945 гг. <span style=""color: #000000;"">&ndash; был главным художником журнала &laquo;Фронтовой юмор&raquo;. В историю советской графики Виталий Горяев вошел как автор послевоенных иллюстраций книг М. Твена, Д. Голсуорси, Т. Драйзера, </span><a href=""http://www.tvkultura.ru/news.html?id=90762&amp;cid=110""><span style=""text-decoration: underline;""><span style=""color: #0000ff;"">Н. Гоголя</span></span></a><span style=""color: #000000;"">, </span><a href=""http://www.tvkultura.ru/theme.html?id=2162&amp;cid=110""><span style=""text-decoration: underline;""><span style=""color: #0000ff;"">Ф. Достоевского</span></span></a><span style=""color: #000000;"">, </span><a href=""http://www.tvkultura.ru/news.html?id=88978&amp;cid=110""><span style=""text-decoration: underline;""><span style=""color: #0000ff;"">А. Барто</span></span></a><span style=""color: #000000;"">, Ю. Олеши, </span><a href=""http://www.tvkultura.ru/news.html?id=7262&amp;cid=110""><span style=""text-decoration: underline;""><span style=""color: #0000ff;"">В. Маяковского</span></span></a><span style=""color: #000000;"">. Показ фильма, приуроченный к юбилею Победы, &ndash; событие Года литературы</span></p>"
26,13,en,Film,     ,<p>&nbsp;&nbsp;&nbsp;&nbsp;</p>
27,14,ru,Праздничная акция «Василий Теркин. Читаем вместе»,"27 мая в Общероссийский день библиотек в Музее читателя РГБИ пройдет праздничная акция «Василий Теркин. Читаем вместе», посвященная Году литературы и 70-летию поэмы А. Твардовского «Василий Теркин»","<p>27 мая в Общероссийский день библиотек в Музее читателя РГБИ пройдет праздничная акция &laquo;Василий Теркин. Читаем вместе&raquo;, посвященная Году литературы и 70-летию поэмы А. Твардовского &laquo;Василий Теркин&raquo;</p>"
28,14,en,  ,    ,<p>&nbsp;&nbsp; &nbsp;</p>
29,15,ru,Выставка «Мир московского театра. Русская театральная открытка начала XX века». ,Выставка «Мир московского театра. Русская театральная открытка начала XX века» знакомит с небольшой частью уникального фонда комплексного отдела иконографических материалов Российской государственной библиотеки искусств.,"<p><span style=""color: #000000;"">В экспозицию вошли цифровые копии фотооткрыток, запечатлевших известных русских актеров, видовых открыток с изображениями Императорских Большого и Малого театров, а также первых частных драматических (театра под руководством К. Незлобина, Камерного театра, театра Ф. Корша) и музыкальных театров Москвы (&laquo;Театра &bdquo;Аквариум&ldquo;, театра &laquo;Омон&raquo;, Народного дома). Представлены также сцены из популярных спектаклей московских театров начала ХХ в.</span><span style=""color: #000000;"">&nbsp;&nbsp;&nbsp;&nbsp; </span><span style=""color: #000000;"">Экспонируемый материал оформлен на 19 планшетах размером 51х71 см.</span></p>"
30,15,en,Exibition Russian post-card,   ,<p>&nbsp;&nbsp;&nbsp;&nbsp;</p>
31,16,ru,"Выставка «Костюм народов России» в Словении, г. Любляна",Выставка знакомит с небольшой частью уникального фонда Центра визуальной информации Российской государственной библиотеки искусств.,"<p><span style=""color: #000000;"">На выставке демонстрируется часть коллекции гравюр, литографий и акварелей русских и иностранных художников XVIII&ndash;XX вв., по праву являющейся гордостью библиотеки. Произведения мастеров, изображавших костюмы и картины быта, демонстрируют широкий диапазон взглядов художников разных эпох на национальный костюм многочисленных народов, населявших Российскую империю.</span></p>
<p><span style=""color: #000000;"">В экспозиции &ndash; качественные копии работ художников И.Г. Георги, Е.М. Корнеева, Г.Ф. Паули и других выдающихся мастеров. Выставка представляет не только познавательный, но и художественный интерес.</span></p>"
32,16,en,Folk russian clothers,   ,<p>&nbsp;&nbsp;&nbsp;&nbsp;</p>
33,17,ru,Выставка «Художественное творчество библиотекарей»,"8 июня в Голубом зале состоится  открытие  корпоративной выставки «Художественное творчество библиотекарей», в которой примут участие коллеги из библиотек Москвы, Санкт-Петербурга, Архангельска, Курска, Липецка, Нижнего Новгорода и других городов.","<p><span style=""font-family: Times New Roman;""><span style=""color: #000000;"">8 июня в Голубом зале состоится </span><span style=""color: #000000;"">&nbsp;</span><span style=""color: #000000;"">открытие </span><span style=""color: #000000;"">&nbsp;</span><span style=""color: #000000;"">корпоративной выставки &laquo;Художественное творчество библиотекарей&raquo;, в которой примут участие коллеги из библиотек Москвы, Санкт-Петербурга, Архангельска, Курска, Липецка, Нижнего Новгорода и других городов.</span></span></p>
<p><span style=""font-family: Times New Roman;""><span style=""color: #000000;"">Выставка традиционно посвящена Всероссийскому дню библиотек</span><span style=""color: #000000; font-size: medium;"">, </span><span style=""color: #000000;"">а в этом году Году литературы.</span></span></p>"
34,17,en,Librarian art erxibition ,   ,<p>&nbsp;&nbsp;</p>
35,18,ru,Лекция цикла «Маленькие музеи больших городов»,"Музей русской гармоники Альфреда Мирека – единственный музей гармоник в нашей стране и один из четырех в мире. Музей русской гармоники был создан на основе уникальной коллекции материалов, собранных на протяжении четырех десятилетий заслуженным деятелем искусств РФ, доктором искусствоведения, профессором Альфредом Мартиновичем Миреком.","<p><span style=""color: #000000;"">Музей русской гармоники был создан на основе уникальной коллекции материалов, собранных на протяжении четырех десятилетий заслуженным деятелем искусств РФ, доктором искусствоведения, профессором Альфредом Мартиновичем Миреком. Долгое время это был частный музей, пользующийся широкой известностью не только в нашей стране, но и за рубежом.</span></p>
<p><span style=""font-family: Times New Roman;""><span style=""color: #000000;"">Сотрудник музея Татьяна Александровна Карасева познакомит с</span><span style=""color: #000000;"">&nbsp; </span><span style=""color: #000000;"">историей музея.</span></span></p>"
36,18,en,Lecture,    ,<p>&nbsp;&nbsp;&nbsp;</p>
37,19,ru,Книжно-иллюстративные выставки из цикла «Юбилеи года»,"Отдел Абонемента РГБИ проводит в июне выстави посвященные Михаилу Ивановичу Глинке, Василию Дмитриевичу Поленову, ","<p>Отдел Абонемента РГБИ проводит в июне следующие выставки, посвященные :</p>
<ul>
<li><span style=""font-family: times new roman,times;""><span style=""line-height: 115%; font-size: 14pt; mso-fareast-font-family: 'Times New Roman'; mso-ansi-language: RU; mso-fareast-language: EN-US; mso-bidi-language: AR-SA;""><span style=""color: #000000;"">210-летию со дня рождения великого русского композитора Михаила Ивановича Глинки (1804&ndash;1857)</span></span><span style=""line-height: 115%; font-size: 11pt; mso-fareast-font-family: 'Times New Roman'; mso-ansi-language: RU; mso-fareast-language: EN-US; mso-bidi-language: AR-SA; mso-bidi-font-family: 'Times New Roman';""><span style=""color: #000000;"">.</span></span></span></li>
<li><span style=""font-family: 'Times New Roman','serif'; font-size: 14pt;""><span style=""color: #000000;"">170-летию со дня рождения русского художника Василия Дмитриевича Поленова (1844&ndash;1927)</span></span></li>
<li style=""line-height: normal; margin-top: 0cm; margin-right: 0cm; margin-bottom: 0pt;""><span style=""font-family: times new roman,times; font-size: large;""><span style=""color: #000000;"">90-летию со дня рождения </span><span style=""color: #000000;"">&nbsp;</span><span style=""color: #000000;"">писателя Василия Владимировича Быкова (1924&ndash;2003).</span></span></li>
</ul>
<p><span style=""line-height: 115%; font-family: 'Calibri','sans-serif'; font-size: 11pt; mso-fareast-font-family: 'Times New Roman'; mso-ansi-language: RU; mso-fareast-language: EN-US; mso-bidi-language: AR-SA; mso-bidi-font-family: 'Times New Roman';""><span style=""color: #000000;""><br /></span></span></p>"
38,19,en,Exibitions,    ,<p>&nbsp;&nbsp;&nbsp;</p>
39,20,ru,Книжно-иллюстративные выставки из цикла «Юбилеи года»,"Отдел Абонемента РГБИ проводит в июне выстави посвященные Давиду Самойловичу Самойлову, Юрию Мефодьевичу Соломину, Александру Трифоновичу Твардовскому","<p>Отдел Абонемента РГБИ проводит в июле следующие выставки, посвященные :</p>
<p>95 летию со дня рождения&nbsp; поэта второй половины XX века Давида Самойловича Самойлова (1920-1990) .</p>
<p>80 лет со дня рождения Юрия Мефодьевича Соломина (род. 1935)</p>
<p>105 лет со дня рождения великого поэта Александра Трифоновича Твардовского (1910-1971).</p>"
40,20,en, July Exibition, . ,<p>.</p>
41,21,ru,Лекция директора Российской государственной  библиотеки  искусств  А.А. Колгановой  «Пигмалион и Галатея. Библиотека и художественная интеллигенция».,"На лекции предполагается в свободной форме, с примерами из мира искусства, журналистики, мемуаристики показать роль библиотек в создании отечественной культуры и в воспитании художественной интеллигенции. Опыт РГБИ свидетельствует о творческом участии библиотек в создании высоких образцов искусства. Ставится вопрос о  необходимости корреляции культуры книжной и культуры информационной.","<p>На лекции предполагается в свободной форме, с примерами из мира искусства, журналистики, мемуаристики показать роль библиотек в создании отечественной культуры и в воспитании художественной интеллигенции. Опыт РГБИ свидетельствует о творческом участии библиотек в создании высоких образцов искусства. Ставится вопрос о &nbsp;необходимости корреляции культуры книжной и культуры информационной.</p>"
42,21,en,Lecture,lecture,<p>lecture</p>
43,22,ru,Книжно-иллюстративные выставки из цикла «Юбилеи года»,"Отдел Абонемента РГБИ проводит в августе выставки посвященные Мстиславу Валериановичу Добужинскому, Олегу Павловичу Табакову, Аркадию Натановичу Стругацкому ","<p>Отдел Абонемента РГБИ проводит в августе следующие выставки, посвященные :</p>
<ul>
<li>140-летию русского художника Мстислава Валериановича Добужинского (1875-1975)</li>
<li>80-летию&nbsp; актера, художественного руководителя МХТ им. А.П. Чехова Олега Павловича Табакова</li>
<li>90- летию со дня рождения писателя, сценариста, переводчика Аркадия Натановича Стругацкого (1925-1991)</li>
</ul>"
44,22,en,Exibitions,Exibitions,<p>Exibitions</p>
45,23,ru,Межрегиональный научно-практический семинар «Электронный паспорт сохранности документов»,"В рамках семинара предполагается рассмотрение следующих вопросов:      методы и критерии оценки состояния документов;     особенности ведения паспортов сохранности на книги, изобразительные материалы, фотодокументы;     создание и особенности формирования БД «Сохранность экземпляра» для различных видов документов.","<p>Межрегиональный научно-практический семинар &laquo;Электронный паспорт сохранности документов&raquo;</p>
<p>В рамках семинара предполагается рассмотрение следующих вопросов:</p>
<ul>
<li><strong>методы и критерии оценки состояния документов; </strong></li>
<li>особенности ведения паспортов сохранности на книги, изобразительные материалы, фотодокументы;</li>
<li>создание и особенности формирования БД &laquo;Сохранность экземпляра&raquo; для различных видов документов.</li>
</ul>
<p>&nbsp;</p>
<p>Главная цель семинара &ndash; представление специалистам возможностей работы с БД &laquo;Сохранность экземпляра&raquo; в АБИС &bdquo;OPAC-Global&ldquo; на основе форматов RUSMARC.</p>
<p>Семинар проводят специалисты Российской государственной библиотеки искусств: Ваганова И.А., заместитель директора РГБИ; Полубнева Ю.А., специалист Центра визуальной информации; Добрусина С.А., директор Федерального центра консервации библиотечных фондов при Российской национальной библиотеке.</p>"
46,23,en,lectyre,lectyre,<p>&nbsp;&nbsp;</p>
47,24,ru,Презентация выставки «Нетрадиционные виды библиотечного собирательства» в рамках Салона «Старая бумага». ,Выставку откроет директор РГБИ Колганова А.А.,<p>Выставку откроет директор РГБИ Колганова А.А.</p>
48,24,en,  ,    ,<p>&nbsp;&nbsp;&nbsp;&nbsp;</p>
49,25,ru,Выставка «Нетрадиционные виды библиотечного собирательства». ,Российская государственная библиотека искусств в рамках Салона «Старая бумага» представит выставку «Нетрадиционные виды библиотечного собирательства». ,"<p>Российская государственная библиотека искусств в рамках Салона &laquo;Старая бумага&raquo; представит выставку &laquo;Нетрадиционные виды библиотечного собирательства&raquo;.</p>
<p>Салон &laquo;Старая Бумага&raquo;, ориентированный на широкую аудиторию, включая детей и подростков, призван показать важность коллекционирования как способа социально-приемлемого проведения досуга, патриотического воспитания, расширения кругозора подрастающего поколения.</p>
<p>Первая часть экспозиции посвящена театральной открытке &laquo;Мир московского театра. Русская театральная открытка начала XX века<strong>&raquo; </strong>из собрания Российской государственной библиотеке искусств.</p>
<p>Несомненный интерес представляют открытки с видами зданий Императорских Большого и Малого театров, первых частных театров (Театра К.Н. Незлобина, Театра Ф.Е. Корша, Театра &laquo;Аквариум&raquo; Ш. Омона, Введенского Народного дома).</p>
<p>Коллекция театральной открытки РГБИ насчитывает 15&nbsp;000 единиц хранения и не только имеет историческую и художественную ценность, но и является важным источником при изучении истории театра. Сегодня театральную открытку можно назвать своеобразной театральной энциклопедией.</p>
<p>Вторая часть экспозиции посвящена коллекции прикладной графики РГБИ. Прикладная графика находится на грани двух областей искусства &mdash; гра&shy;фического и декоративно-прикладного. Размноженные огромными тиражами, различные произведения прикладной графики &ndash; от театральной афиши до этикетки &ndash; постоянно окружают нас в повседневной жизни, выполняя свои утилитарные функции. Они не только оказывали агитационно-пропагандистское воздействие, но и являлись одним из средств формирования эстетического вкуса людей. Собрание прикладной графики РГБИ уникально по своему составу и представляет большой историко-культурный интерес.</p>"
50,25,en,exibition ,exibition ,<p>exibition</p>
51,26,ru,Выставка «Время молодых»,"К 175-летию П.И. Чайковского Творческое объединение «Время молодых XXI» проводит выставочный проект-конкурс, темой которого стал синтез музыки и изобразительного искусства на примере музыкальных произведений великого русского композитора. Экспозиция выставки будет размещена в Голубом зале Российской государственной библиотеки искусств.","<p>В проекте-конкурсе примут участие молодые художники из ведущих учебных художественных учреждений, в т. ч. Российской Академии живописи, ваяния и зодчества И. Глазунова; МГАХИ им. В.И. Сурикова; МГХПА им. С.Г. Строганова; РАТИ (ГИТИС); Школы-студии МХАТ им. Вл.И. Немировича-Данченко и др. На выставке также будет показано искусство учащихся среднего звена художественных учреждений, таких как Колледж музыкально-театрального искусства им. Г. Вишневской, Колледж декоративно-прикладного искусства им. К. Фаберже, Ивановского художественного училища.</p>"
52,26,en,   ,   ,<p>&nbsp;&nbsp;</p>
53,27,ru,"Дискуссионно-образовательная площадка «Русский язык в библиотеке, театре, на улице».",Публичная лекция директора РГБИ «Русский язык на театральных афишах» Колгановой А.А.,"<p>Лекция посвящена анализу живого русского языка в его театральном преломлении. Классические традиции отечественного театра требуют чистоты, афористичности и характерологичности сценической речи. Задача публичной лекции &ndash; привлечь внимание к ежедневной практике русского языка в контексте его использования в библиотечном, информационном, интеллектуальном сервисе.</p>"
54,27,en,lecture,lecture,<p>lecture</p>
55,28,ru,Презентация книги,Презентация книги А.З. Ходоровского «Метрошки в обложке» с иллюстрациями К. Батынкова.,"<p>В сборник члена Российского Союза писателей А.З. Ходоровского &laquo;Метрошки в обложке&raquo; вошли рассказы, монологи, миниатюры, стихи последних лет &ndash; воспоминания юности и детства, рассуждения о настоящем и будущем. Герои произведений &ndash; люди, предметы, животные, со своими судьбами и отношениями. Издание дополнено экспрессивными иллюстрациями К. Батынкова. В рамках презентации состоится однодневная выставка рисунков К. Батынкова.</p>"
56,28,en,   ,    ,<p>&nbsp;&nbsp;&nbsp;</p>
57,29,ru,Заседание клуба «Книга художника»,"Заседание клуба «Книга художника».  Тема – Медиа-книга. Участники: В. Корчагин, S. Souther, RA, А. Митлянская ","<p>В программе заседания &ndash; обсуждение использования видео-, аудио- и компьютерного языка в Книге художника. Посетители познакомятся с аудиовизуальным проектом В. Корчагина и Sasha Souther &ldquo;RadioBinomials&rdquo;, смогут погрузиться в мир футуристических интерфейсов работы RA &ldquo;we_interface&rdquo;, а также узнать о видео-книгах А. Митлянской.</p>"
58,29,en,club meeting,club meeting,<p>club meeting</p>
59,30,ru,Заседание Клуба любителей открытки ,Российская государственная библиотека искусств и Московский клуб филокартистов проводят заседание Клуба любителей открытки при РГБИ в рамках Салона «Старая бумага».,"<p>Тема заседания &ndash; &laquo;Сохраняем вместе&raquo;. Опыт сотрудничества в рамках партнерства Российской государственной библиотеки искусств и сообщества коллекционеров.</p>
<p>В заседании Клуба участвуют специалисты библиотек и музеев, сотрудники художественных галерей, искусствоведы и коллекционеры.</p>"
60,30,en,club meeting,club meeting,<p>club meeting</p>
61,31,ru,Книжно-иллюстративные выставки из цикла «Юбилеи года» в сентябре ,"Отдел Абонемента РГБИ проводит в сентябре выставки посвященные Евгению Евгеньевичу Лансере (1875–1946). Александру Ивановичу Куприну (1870–1938)., Георгию Александровичу Товстоногову (1915–1989)","<p>Отдел Абонемента РГБИ проводит в сентябре следующие выставки, посвященные :</p>
<ul>
<li>140-летию со дня рождения русского художника Евгения Евгеньевича Лансере (1875&ndash;1946).</li>
<li>145-летию со дня рождения русского писателя Александра Ивановича Куприна (1870&ndash;1938).</li>
<li>100-летию со дня рождения выдающегося театрального режиссера Георгия Александровича Товстоногова (1915&ndash;1989).</li>
</ul>"
62,31,en,Exibitions,Exibitions,<p>Exibitions</p>
63,32,ru,"Персональная выставка художника, поэта, лингвиста Виктории Полищук «В синих тонах»  ","Персональная выставка художника, поэта, лингвиста Виктории Полищук «В синих тонах»  ","<p>В экспозиции &ndash; живописные работы разных лет. Романтические пейзажи, натюрморты, абстракции вовлекают зрителя в &nbsp;мир художника; наивность и простодушие, характерные для стиля автора, принимают форму компоненты настоящего искусства.</p>"
64,32,en,exibition,exibition,<p>exibition</p>
65,33,ru,Межрегиональный научно-практический семинар ,Межрегиональный научно-практический семинар «Фонды изобразительных материалов в библиотеке: От комплектования к использованию»,"<p>Семинар посвящен тематике, актуальной &nbsp;и для универсальных и специальных библиотек.</p>
<p>&nbsp;Рассматриваются вопросы:</p>
<p>- изобразительный материал в библиотечной работе. Вопросы комплектование, учет, организация, использование и обеспечение сохранности;</p>
<p>- обеспечение сохранности фонда гравюр и литографий в процессе хранения и использования;</p>
<p>&nbsp;Основная цель семинара &ndash;оказание методической помощи библиотекам, стоящим у истоков формирования фонда изобразительных материалов.</p>
<p>Семинар проводят ведущие специалисты Российской государственной библиотеки искусств: Хапланова Е.Г., руководитель Центра визуальной информации; Глазунова Т.А., зав. Отделом научной обработки, член межрегионального комитета каталогизации РБА (МКК); Мордкович Т.А., гл. хранитель фонда печатной графики РГБИ.</p>"
